,Year,Airport,Cause,Delays (%)
102,2006,IAH,Air Carrier Delay,3.543784932411921
103,2006,JFK,Air Carrier Delay,5.8491273174971
104,2006,LAS,Air Carrier Delay,5.426644145607312
105,2006,LAX,Air Carrier Delay,6.950277896536985
106,2006,LGA,Air Carrier Delay,4.617004747518343
107,2006,MCO,Air Carrier Delay,5.574119546570684
108,2006,MDW,Air Carrier Delay,4.480636052905334
109,2006,MIA,Air Carrier Delay,6.556462585034012
110,2006,MSP,Air Carrier Delay,5.834286978787972
111,2006,ORD,Air Carrier Delay,4.568235870079907
112,2006,PDX,Air Carrier Delay,7.093696438773566
113,2006,PHL,Air Carrier Delay,5.373004514943632
114,2006,PHX,Air Carrier Delay,5.742520398912059
115,2006,SAN,Air Carrier Delay,6.988473335844589
116,2006,SEA,Air Carrier Delay,6.917295190975287
117,2006,SFO,Air Carrier Delay,7.671021584917111
118,2006,SLC,Air Carrier Delay,6.234215742784442
119,2006,TPA,Air Carrier Delay,5.989664661040383
120,2007,ATL,Air Carrier Delay,6.697963355377451
121,2007,BOS,Air Carrier Delay,6.424089478767486
122,2007,BWI,Air Carrier Delay,5.36774989716166
123,2007,CLT,Air Carrier Delay,7.644878117846935
124,2007,DAL,Air Carrier Delay,3.224228046113356
125,2007,DCA,Air Carrier Delay,6.311129688457895
126,2007,DEN,Air Carrier Delay,6.578035570397322
127,2007,DFW,Air Carrier Delay,4.629243811598292
128,2007,DTW,Air Carrier Delay,5.993278873239438
129,2007,EWR,Air Carrier Delay,3.2849661921015403
130,2007,FLL,Air Carrier Delay,7.308892984679186
131,2007,IAD,Air Carrier Delay,7.2292515736397505
132,2007,IAH,Air Carrier Delay,3.845035147850468
133,2007,JFK,Air Carrier Delay,5.5994705022325855
134,2007,LAS,Air Carrier Delay,5.870706784763546
135,2007,LAX,Air Carrier Delay,6.6435399451353945
136,2007,LGA,Air Carrier Delay,5.153235181737628
137,2007,MCO,Air Carrier Delay,6.3204009152330825
138,2007,MDW,Air Carrier Delay,4.134122678906741
139,2007,MIA,Air Carrier Delay,8.035886349598519
140,2007,MSP,Air Carrier Delay,6.14629185221308
141,2007,ORD,Air Carrier Delay,4.900588686154698
142,2007,PDX,Air Carrier Delay,7.146553194392333
143,2007,PHL,Air Carrier Delay,6.77522358524097
144,2007,PHX,Air Carrier Delay,6.648850297018444
145,2007,SAN,Air Carrier Delay,6.751690612731497
146,2007,SEA,Air Carrier Delay,7.571284597835946
147,2007,SFO,Air Carrier Delay,7.203284160032362
